town,Index,group,State Name,District names,latitude,longitude
Khera Khurd ,-1.828676489,5,NCT OF DELHI,North West,28.7756713,77.09844241
Eddumailaram ,-1.83265353,5,ANDHRA PRADESH,Medak,17.5011973,78.1239411
Gujarkheda ,-1.836084894,5,MADHYA PRADESH,Indore,23.2843393,76.11296481
Salvador do Mundo ,-1.837716825,5,GOA,North Goa,15.5403071,73.8455048
Njarackal ,-1.844843984,5,KERALA,Ernakulam,10.0420124,76.2192723
Vadakkekara ,-1.846390238,5,KERALA,Ernakulam,10.8490699,76.54266746
Candolim ,-1.849945851,5,GOA,North Goa,15.5201532,73.7659422
Kosavampatti ,-1.850194273,5,TAMIL NADU,Namakkal   ,11.0013022,78.3360278
Gamdi ,-1.853050347,5,GUJARAT,Anand  ,21.9580252,73.4862803
Kadambathur ,-1.855865841,5,TAMIL NADU,Thiruvallur,13.09970383,79.8614494
Thimmapur ,-1.857768248,5,ANDHRA PRADESH,Adilabad,18.3726097,79.1585111
Pichandarkovil ,-1.861447655,5,TAMIL NADU,Tiruchirappalli,10.8775915,78.7080495
Cortalim ,-1.864221881,5,GOA,South Goa,15.3969664,73.916837
Safa Pora ,-1.887736311,5,JAMMU & KASHMIR,Ganderbal,34.0894957,74.7918431
Parasi ,-1.890932317,5,UTTAR PRADESH,Sonbhadra,23.5614687,77.68939533
Murbad ,-1.891342104,5,MAHARASHTRA,Thane,19.257118,73.3907493
Vazhakkala ,-1.89467621,5,KERALA,Ernakulam,10.0123677,76.3262961
Parcem ,-1.900021182,5,GOA,North Goa,15.6702319,73.7806454
Colvale ,-1.912491203,5,GOA,North Goa,15.6444652,73.836751
Aldona ,-1.917910925,5,GOA,North Goa,15.5896313,73.8710503
Ashokapuram ,-1.921359011,5,TAMIL NADU,Coimbatore,12.2740878,76.6360115
Peruvilai ,-1.923318347,5,TAMIL NADU,Kanniyakumari,8.1818202,77.3933387
Jawaharnagar ,-1.923512474,5,ANDHRA PRADESH,Rangareddy,21.1114277,79.5463249
Bhokara ,-1.928262707,5,MAHARASHTRA,Nagpur,18.9779212,72.8373806
Gerugambakkam ,-1.934186789,5,TAMIL NADU,Kancheepuram,13.0152345,80.1368538
Ghatkesar ,-1.940374902,5,ANDHRA PRADESH,Rangareddy,17.4510837,78.6843022
Kulathur ,-1.945235572,5,TAMIL NADU,Tiruchirappalli,11.0488499,77.0819185
Behlana ,-1.95107305,5,UTTARAKHAND,Chandigarh,30.6779496,76.79941
Nuvem ,-1.955759474,5,GOA,South Goa,15.308184,73.9480748
K.Madapur ,-1.958082316,5,TAMIL NADU,Coimbatore,16.0978944,75.9479244
Moothakunnam ,-1.977822007,5,KERALA,Ernakulam,10.1885651,76.2024818
Saidapur ,-1.979767814,5,MAHARASHTRA,Satara,17.6164906,78.944773
Saidapur ,-1.979767814,5,MAHARASHTRA,Satara,17.6164906,78.944773
Kashirampur ,-1.980557193,5,UTTARAKHAND,Garhwal,29.6912322,78.2476088
Gharoli ,-1.986418206,5,NCT OF DELHI,East,28.6165864,77.3319912
Gandipuram ,-1.992744602,5,TAMIL NADU,Kanniyakumari,17.5928533,80.0422239
Tirusulam ,-1.993380525,5,TAMIL NADU,Kancheepuram,12.9804609,80.1657933
Manapakkam ,-1.99440255,5,TAMIL NADU,Kancheepuram,13.0147531,80.1744935
Mandrem ,-1.996057414,5,GOA,North Goa,15.6551117,73.7197877
Alangad ,-1.997585149,5,KERALA,Ernakulam,10.1220443,76.3000005
Bhanur ,-2.002080027,5,ANDHRA PRADESH,Medak,17.4899467,78.1787392
Chicalim ,-2.013359906,5,GOA,South Goa,15.3918926,73.8344664
Greater Noida ,-2.014585011,5,UTTAR PRADESH,Gautam Buddha Nagar,28.4670734,77.5137649
Elamkunnapuzha ,-2.014874366,5,KERALA,Ernakulam,10.030615,76.2220886
Chandpur ,-2.01745613,5,UTTAR PRADESH,Varanasi,29.14257005,78.29018189
Chandpur ,-2.01745613,5,UTTAR PRADESH,Varanasi,29.14257005,78.29018189
Chitkul ,-2.018940668,5,ANDHRA PRADESH,Medak,31.3517931,78.4359134
Kondli ,-2.019305846,5,NCT OF DELHI,East,28.6070816,77.32433194
Anjuna ,-2.020829471,5,GOA,North Goa,15.5850408,73.7438151
Kallangudy ,-2.021292315,5,TAMIL NADU,Pudukkottai,10.3538032,78.9915275
Dubra ,-2.023749446,5,WEST BENGAL,Puruliya,30.3285643,78.1610834
Bhore ,-2.025916531,5,JAMMU & KASHMIR,Jammu,26.4480013,84.1035175
Ambikanagara ,-2.04462862,5,KARNATAKA,Uttara Kannada,12.9239683,74.8456244
Sirukalathur ,-2.059379921,5,TAMIL NADU,Kancheepuram,11.275639,79.23351
Kaniyur ,-2.064265269,5,TAMIL NADU,Coimbatore,11.0946073,77.1553216
Kannapalayam ,-2.066757606,5,TAMIL NADU,Thiruvallur,13.0907932,80.1003672
Azhikode South ,-2.079874725,5,KERALA,Kannur,11.9128233,75.3414184
Nathampannai ,-2.083944793,5,TAMIL NADU,Pudukkottai,10.4087671,78.7918432
Kattupakkam ,-2.084690365,5,TAMIL NADU,Thiruvallur,13.0400552,80.1243027
Nagaram ,-2.085773924,5,ANDHRA PRADESH,Rangareddy,17.4891828,78.6017275
Bidadi ,-2.08999021,5,KARNATAKA,Ramanagara,12.7988507,77.3869947
Devsar ,-2.091355212,5,GUJARAT,Navsari  ,33.6341841,75.0819287
Senneerkuppam ,-2.091487807,5,TAMIL NADU,Thiruvallur,13.0501739,80.1193176
Haldwani Talli ,-2.093423098,5,UTTARAKHAND,Nainital,29.1868181,79.5162032
